Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1CC3CA,2019.12,2345.636,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.03,2247.182,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.06,1963.658,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.09,2421.896,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC3CA,2020.12,2480.628,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Wood and Paper Products Manufacturing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2016.06,378.816,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2016.09,382.97,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2016.12,439.04,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.03,339.726,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.06,363.012,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.09,379.748,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2017.12,403.359,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.03,345.957,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.06,370.112,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.09,385.258,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2018.12,407.693,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.03,345.4,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.06,364.445,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.09,386.209,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2019.12,409.094,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.03,327.183,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.06,257.649,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.09,353.746,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
BDCQ.SF1CC4CA,2020.12,384.357,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Printing,Current prices,Unadjusted,
